General parameters:
Start time: 2023              8              1             16              1       5.638377
Finish time: 2023              8              1             16             30      37.407218
Raster type: raster_jump
Horizontal range (nm): -2091500.000000,-2236500.000000
Vertical range (nm): -192000.000000,-312000.000000
Horizontal pixel size (nm): 2000.000000
Vertical pixel size (nm): 2000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 8.34e-07
Sample chamber pressure: 3.74e-08
Initial position (nm): -2096001.000000,-187500.000000,-30001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_07_MoS2_5um/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2091500 -2236500
hori_res:2000
vert_range:-192000 -312000
vert_res:2000
pause:0.35
data_path:/icon/data/2023_07_MoS2_5um/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.450764
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x,y,I,P_beam,T_lab
-276000.000000,-2210500.000000,NaN,NaN,NaN
-276000.000000,-2208500.000000,NaN,NaN,NaN
-276000.000000,-2206500.000000,NaN,NaN,NaN
-276000.000000,-2204500.000000,NaN,NaN,NaN
-276000.000000,-2202500.000000,NaN,NaN,NaN
-276000.000000,-2200500.000000,NaN,NaN,NaN
-276000.000000,-2198500.000000,NaN,NaN,NaN
-276000.000000,-2196500.000000,NaN,NaN,NaN
-276000.000000,-2194500.000000,NaN,NaN,NaN
-276000.000000,-2192500.000000,NaN,NaN,NaN
-276000.000000,-2190500.000000,NaN,NaN,NaN
-276000.000000,-2188500.000000,NaN,NaN,NaN
-276000.000000,-2186500.000000,NaN,NaN,NaN
-276000.000000,-2184500.000000,NaN,NaN,NaN
-276000.000000,-2182500.000000,NaN,NaN,NaN
-276000.000000,-2180500.000000,NaN,NaN,NaN
-276000.000000,-2178500.000000,NaN,NaN,NaN
-276000.000000,-2176500.000000,NaN,NaN,NaN
-276000.000000,-2174500.000000,NaN,NaN,NaN
-276000.000000,-2172500.000000,NaN,NaN,NaN
-276000.000000,-2170500.000000,NaN,NaN,NaN
-276000.000000,-2168500.000000,NaN,NaN,NaN
-276000.000000,-2166500.000000,NaN,NaN,NaN
-276000.000000,-2164500.000000,NaN,NaN,NaN
-276000.000000,-2162500.000000,NaN,NaN,NaN
-276000.000000,-2160500.000000,NaN,NaN,NaN
-276000.000000,-2158500.000000,NaN,NaN,NaN
-276000.000000,-2156500.000000,NaN,NaN,NaN
-276000.000000,-2154500.000000,NaN,NaN,NaN
-276000.000000,-2152500.000000,NaN,NaN,NaN
-276000.000000,-2150500.000000,NaN,NaN,NaN
-276000.000000,-2148500.000000,NaN,NaN,NaN
-276000.000000,-2146500.000000,NaN,NaN,NaN
-276000.000000,-2144500.000000,NaN,NaN,NaN
-276000.000000,-2142500.000000,NaN,NaN,NaN
-276000.000000,-2140500.000000,NaN,NaN,NaN
-276000.000000,-2138500.000000,NaN,NaN,NaN
-276000.000000,-2136500.000000,NaN,NaN,NaN
-276000.000000,-2134500.000000,NaN,NaN,NaN
-276000.000000,-2132500.000000,NaN,NaN,NaN
-276000.000000,-2130500.000000,NaN,NaN,NaN
-276000.000000,-2128500.000000,NaN,NaN,NaN
-276000.000000,-2126500.000000,NaN,NaN,NaN
-276000.000000,-2124500.000000,NaN,NaN,NaN
-276000.000000,-2122500.000000,NaN,NaN,NaN
-276000.000000,-2120500.000000,NaN,NaN,NaN
-276000.000000,-2118500.000000,NaN,NaN,NaN
-276000.000000,-2116500.000000,NaN,NaN,NaN
-276000.000000,-2114500.000000,NaN,NaN,NaN
-276000.000000,-2112500.000000,NaN,NaN,NaN
-276000.000000,-2110500.000000,NaN,NaN,NaN
-276000.000000,-2108500.000000,NaN,NaN,NaN
-276000.000000,-2106500.000000,NaN,NaN,NaN
-276000.000000,-2104500.000000,NaN,NaN,NaN
-276000.000000,-2102500.000000,NaN,NaN,NaN
-276000.000000,-2100500.000000,NaN,NaN,NaN
-276000.000000,-2098500.000000,NaN,NaN,NaN
-276000.000000,-2096500.000000,NaN,NaN,NaN
-276000.000000,-2094500.000000,NaN,NaN,NaN
-276000.000000,-2092500.000000,NaN,NaN,NaN
-274000.000000,-2236500.000000,NaN,NaN,NaN
-274000.000000,-2234500.000000,NaN,NaN,NaN
-274000.000000,-2232500.000000,NaN,NaN,NaN
-274000.000000,-2230500.000000,NaN,NaN,NaN
-274000.000000,-2228500.000000,NaN,NaN,NaN
-274000.000000,-2226500.000000,NaN,NaN,NaN
-274000.000000,-2224500.000000,NaN,NaN,NaN
-274000.000000,-2222500.000000,NaN,NaN,NaN
-274000.000000,-2220500.000000,NaN,NaN,NaN
-274000.000000,-2218500.000000,NaN,NaN,NaN
-274000.000000,-2216500.000000,NaN,NaN,NaN
-274000.000000,-2214500.000000,NaN,NaN,NaN
-274000.000000,-2212500.000000,NaN,NaN,NaN
-274000.000000,-2210500.000000,NaN,NaN,NaN
-274000.000000,-2208500.000000,NaN,NaN,NaN
-274000.000000,-2206500.000000,NaN,NaN,NaN
-274000.000000,-2204500.000000,NaN,NaN,NaN
-274000.000000,-2202500.000000,NaN,NaN,NaN
-274000.000000,-2200500.000000,NaN,NaN,NaN
-274000.000000,-2198500.000000,NaN,NaN,NaN
-274000.000000,-2196500.000000,NaN,NaN,NaN
-274000.000000,-2194500.000000,NaN,NaN,NaN
-274000.000000,-2192500.000000,NaN,NaN,NaN
-274000.000000,-2190500.000000,NaN,NaN,NaN
-274000.000000,-2188500.000000,NaN,NaN,NaN
-274000.000000,-2186500.000000,NaN,NaN,NaN
-274000.000000,-2184500.000000,NaN,NaN,NaN
-274000.000000,-2182500.000000,NaN,NaN,NaN
-274000.000000,-2180500.000000,NaN,NaN,NaN
-274000.000000,-2178500.000000,NaN,NaN,NaN
-274000.000000,-2176500.000000,NaN,NaN,NaN
-274000.000000,-2174500.000000,NaN,NaN,NaN
-274000.000000,-2172500.000000,NaN,NaN,NaN
-274000.000000,-2170500.000000,NaN,NaN,NaN
-274000.000000,-2168500.000000,NaN,NaN,NaN
-274000.000000,-2166500.000000,NaN,NaN,NaN
-274000.000000,-2164500.000000,NaN,NaN,NaN
-274000.000000,-2162500.000000,NaN,NaN,NaN
-274000.000000,-2160500.000000,NaN,NaN,NaN
-274000.000000,-2158500.000000,NaN,NaN,NaN
-274000.000000,-2156500.000000,NaN,NaN,NaN
-274000.000000,-2154500.000000,NaN,NaN,NaN
-274000.000000,-2152500.000000,NaN,NaN,NaN
-274000.000000,-2150500.000000,NaN,NaN,NaN
-274000.000000,-2148500.000000,NaN,NaN,NaN
-274000.000000,-2146500.000000,NaN,NaN,NaN
-274000.000000,-2144500.000000,NaN,NaN,NaN
-274000.000000,-2142500.000000,NaN,NaN,NaN
-274000.000000,-2140500.000000,NaN,NaN,NaN
-274000.000000,-2138500.000000,NaN,NaN,NaN
-274000.000000,-2136500.000000,NaN,NaN,NaN
-274000.000000,-2134500.000000,NaN,NaN,NaN
-274000.000000,-2132500.000000,NaN,NaN,NaN
-274000.000000,-2130500.000000,NaN,NaN,NaN
-274000.000000,-2128500.000000,NaN,NaN,NaN
-274000.000000,-2126500.000000,NaN,NaN,NaN
-274000.000000,-2124500.000000,NaN,NaN,NaN
-274000.000000,-2122500.000000,NaN,NaN,NaN
-274000.000000,-2120500.000000,NaN,NaN,NaN
-274000.000000,-2118500.000000,NaN,NaN,NaN
-274000.000000,-2116500.000000,NaN,NaN,NaN
-274000.000000,-2114500.000000,NaN,NaN,NaN
-274000.000000,-2112500.000000,NaN,NaN,NaN
-274000.000000,-2110500.000000,NaN,NaN,NaN
-274000.000000,-2108500.000000,NaN,NaN,NaN
-274000.000000,-2106500.000000,NaN,NaN,NaN
-274000.000000,-2104500.000000,NaN,NaN,NaN
-274000.000000,-2102500.000000,NaN,NaN,NaN
-274000.000000,-2100500.000000,NaN,NaN,NaN
-274000.000000,-2098500.000000,NaN,NaN,NaN
-274000.000000,-2096500.000000,NaN,NaN,NaN
-274000.000000,-2094500.000000,NaN,NaN,NaN
-274000.000000,-2092500.000000,NaN,NaN,NaN
-272000.000000,-2236500.000000,NaN,NaN,NaN
-272000.000000,-2234500.000000,NaN,NaN,NaN
-272000.000000,-2232500.000000,NaN,NaN,NaN
-272000.000000,-2230500.000000,NaN,NaN,NaN
-272000.000000,-2228500.000000,NaN,NaN,NaN
-272000.000000,-2226500.000000,NaN,NaN,NaN
-272000.000000,-2224500.000000,NaN,NaN,NaN
-272000.000000,-2222500.000000,NaN,NaN,NaN
-272000.000000,-2220500.000000,NaN,NaN,NaN
-272000.000000,-2218500.000000,NaN,NaN,NaN
-272000.000000,-2216500.000000,NaN,NaN,NaN
-272000.000000,-2214500.000000,NaN,NaN,NaN
-272000.000000,-2212500.000000,NaN,NaN,NaN
-272000.000000,-2210500.000000,NaN,NaN,NaN
-272000.000000,-2208500.000000,NaN,NaN,NaN
-272000.000000,-2206500.000000,NaN,NaN,NaN
-272000.000000,-2204500.000000,NaN,NaN,NaN
-272000.000000,-2202500.000000,NaN,NaN,NaN
-272000.000000,-2200500.000000,NaN,NaN,NaN
-272000.000000,-2198500.000000,NaN,NaN,NaN
-272000.000000,-2196500.000000,NaN,NaN,NaN
-272000.000000,-2194500.000000,NaN,NaN,NaN
-272000.000000,-2192500.000000,NaN,NaN,NaN
-272000.000000,-2190500.000000,NaN,NaN,NaN
-272000.000000,-2188500.000000,NaN,NaN,NaN
-272000.000000,-2186500.000000,NaN,NaN,NaN
-272000.000000,-2184500.000000,NaN,NaN,NaN
-272000.000000,-2182500.000000,NaN,NaN,NaN
-272000.000000,-2180500.000000,NaN,NaN,NaN
-272000.000000,-2178500.000000,NaN,NaN,NaN
-272000.000000,-2176500.000000,NaN,NaN,NaN
-272000.000000,-2174500.000000,NaN,NaN,NaN
-272000.000000,-2172500.000000,NaN,NaN,NaN
-272000.000000,-2170500.000000,NaN,NaN,NaN
-272000.000000,-2168500.000000,NaN,NaN,NaN
-272000.000000,-2166500.000000,NaN,NaN,NaN
-272000.000000,-2164500.000000,NaN,NaN,NaN
-272000.000000,-2162500.000000,NaN,NaN,NaN
-272000.000000,-2160500.000000,NaN,NaN,NaN
-272000.000000,-2158500.000000,NaN,NaN,NaN
-272000.000000,-2156500.000000,NaN,NaN,NaN
-272000.000000,-2154500.000000,NaN,NaN,NaN
-272000.000000,-2152500.000000,NaN,NaN,NaN
-272000.000000,-2150500.000000,NaN,NaN,NaN
-272000.000000,-2148500.000000,NaN,NaN,NaN
-272000.000000,-2146500.000000,NaN,NaN,NaN
-272000.000000,-2144500.000000,NaN,NaN,NaN
-272000.000000,-2142500.000000,NaN,NaN,NaN
-272000.000000,-2140500.000000,NaN,NaN,NaN
-272000.000000,-2138500.000000,NaN,NaN,NaN
-272000.000000,-2136500.000000,NaN,NaN,NaN
-272000.000000,-2134500.000000,NaN,NaN,NaN
-272000.000000,-2132500.000000,NaN,NaN,NaN
-272000.000000,-2130500.000000,NaN,NaN,NaN
-272000.000000,-2128500.000000,NaN,NaN,NaN
-272000.000000,-2126500.000000,NaN,NaN,NaN
-272000.000000,-2124500.000000,NaN,NaN,NaN
-272000.000000,-2122500.000000,NaN,NaN,NaN
-272000.000000,-2120500.000000,NaN,NaN,NaN
-272000.000000,-2118500.000000,NaN,NaN,NaN
-272000.000000,-2116500.000000,NaN,NaN,NaN
-272000.000000,-2114500.000000,NaN,NaN,NaN
-272000.000000,-2112500.000000,NaN,NaN,NaN
-272000.000000,-2110500.000000,NaN,NaN,NaN
-272000.000000,-2108500.000000,NaN,NaN,NaN
-272000.000000,-2106500.000000,NaN,NaN,NaN
-272000.000000,-2104500.000000,NaN,NaN,NaN
-272000.000000,-2102500.000000,NaN,NaN,NaN
-272000.000000,-2100500.000000,NaN,NaN,NaN
-272000.000000,-2098500.000000,NaN,NaN,NaN
-272000.000000,-2096500.000000,NaN,NaN,NaN
-272000.000000,-2094500.000000,NaN,NaN,NaN
-272000.000000,-2092500.000000,NaN,NaN,NaN
-270000.000000,-2236500.000000,NaN,NaN,NaN
-270000.000000,-2234500.000000,NaN,NaN,NaN
-270000.000000,-2232500.000000,NaN,NaN,NaN
-270000.000000,-2230500.000000,NaN,NaN,NaN
-270000.000000,-2228500.000000,NaN,NaN,NaN
-270000.000000,-2226500.000000,NaN,NaN,NaN
-270000.000000,-2224500.000000,NaN,NaN,NaN
-270000.000000,-2222500.000000,NaN,NaN,NaN
-270000.000000,-2220500.000000,NaN,NaN,NaN
-270000.000000,-2218500.000000,NaN,NaN,NaN
-270000.000000,-2216500.000000,NaN,NaN,NaN
-270000.000000,-2214500.000000,NaN,NaN,NaN
-270000.000000,-2212500.000000,NaN,NaN,NaN
-270000.000000,-2210500.000000,NaN,NaN,NaN
-270000.000000,-2208500.000000,NaN,NaN,NaN
-270000.000000,-2206500.000000,NaN,NaN,NaN
-270000.000000,-2204500.000000,NaN,NaN,NaN
-270000.000000,-2202500.000000,NaN,NaN,NaN
-270000.000000,-2200500.000000,NaN,NaN,NaN
-270000.000000,-2198500.000000,NaN,NaN,NaN
-270000.000000,-2196500.000000,NaN,NaN,NaN
-270000.000000,-2194500.000000,NaN,NaN,NaN
-270000.000000,-2192500.000000,NaN,NaN,NaN
-270000.000000,-2190500.000000,NaN,NaN,NaN
-270000.000000,-2188500.000000,NaN,NaN,NaN
-270000.000000,-2186500.000000,NaN,NaN,NaN
-270000.000000,-2184500.000000,NaN,NaN,NaN
-270000.000000,-2182500.000000,NaN,NaN,NaN
-270000.000000,-2180500.000000,NaN,NaN,NaN
-270000.000000,-2178500.000000,NaN,NaN,NaN
-270000.000000,-2176500.000000,NaN,NaN,NaN
-270000.000000,-2174500.000000,NaN,NaN,NaN
-270000.000000,-2172500.000000,NaN,NaN,NaN
-270000.000000,-2170500.000000,NaN,NaN,NaN
-270000.000000,-2168500.000000,NaN,NaN,NaN
-270000.000000,-2166500.000000,NaN,NaN,NaN
-270000.000000,-2164500.000000,NaN,NaN,NaN
-270000.000000,-2162500.000000,NaN,NaN,NaN
-270000.000000,-2160500.000000,NaN,NaN,NaN
-270000.000000,-2158500.000000,NaN,NaN,NaN
-270000.000000,-2156500.000000,NaN,NaN,NaN
-270000.000000,-2154500.000000,NaN,NaN,NaN
-270000.000000,-2152500.000000,NaN,NaN,NaN
-270000.000000,-2150500.000000,NaN,NaN,NaN
-270000.000000,-2148500.000000,NaN,NaN,NaN
-270000.000000,-2146500.000000,NaN,NaN,NaN
-270000.000000,-2144500.000000,NaN,NaN,NaN
-270000.000000,-2142500.000000,NaN,NaN,NaN
-270000.000000,-2140500.000000,NaN,NaN,NaN
-270000.000000,-2138500.000000,NaN,NaN,NaN
-270000.000000,-2136500.000000,NaN,NaN,NaN
-270000.000000,-2134500.000000,NaN,NaN,NaN
-270000.000000,-2132500.000000,NaN,NaN,NaN
-270000.000000,-2130500.000000,NaN,NaN,NaN
-270000.000000,-2128500.000000,NaN,NaN,NaN
-270000.000000,-2126500.000000,NaN,NaN,NaN
-270000.000000,-2124500.000000,NaN,NaN,NaN
-270000.000000,-2122500.000000,NaN,NaN,NaN
-270000.000000,-2120500.000000,NaN,NaN,NaN
-270000.000000,-2118500.000000,NaN,NaN,NaN
-270000.000000,-2116500.000000,NaN,NaN,NaN
-270000.000000,-2114500.000000,NaN,NaN,NaN
-270000.000000,-2112500.000000,NaN,NaN,NaN
-270000.000000,-2110500.000000,NaN,NaN,NaN
-270000.000000,-2108500.000000,NaN,NaN,NaN
-270000.000000,-2106500.000000,NaN,NaN,NaN
-270000.000000,-2104500.000000,NaN,NaN,NaN
-270000.000000,-2102500.000000,NaN,NaN,NaN
-270000.000000,-2100500.000000,NaN,NaN,NaN
-270000.000000,-2098500.000000,NaN,NaN,NaN
-270000.000000,-2096500.000000,NaN,NaN,NaN
-270000.000000,-2094500.000000,NaN,NaN,NaN
-270000.000000,-2092500.000000,NaN,NaN,NaN
-268000.000000,-2236500.000000,NaN,NaN,NaN
-268000.000000,-2234500.000000,NaN,NaN,NaN
-268000.000000,-2232500.000000,NaN,NaN,NaN
-268000.000000,-2230500.000000,NaN,NaN,NaN
-268000.000000,-2228500.000000,NaN,NaN,NaN
-268000.000000,-2226500.000000,NaN,NaN,NaN
-268000.000000,-2224500.000000,NaN,NaN,NaN
-268000.000000,-2222500.000000,NaN,NaN,NaN
-268000.000000,-2220500.000000,NaN,NaN,NaN
-268000.000000,-2218500.000000,NaN,NaN,NaN
-268000.000000,-2216500.000000,NaN,NaN,NaN
-268000.000000,-2214500.000000,NaN,NaN,NaN
-268000.000000,-2212500.000000,NaN,NaN,NaN
-268000.000000,-2210500.000000,NaN,NaN,NaN
-268000.000000,-2208500.000000,NaN,NaN,NaN
-268000.000000,-2206500.000000,NaN,NaN,NaN
-268000.000000,-2204500.000000,NaN,NaN,NaN
-268000.000000,-2202500.000000,NaN,NaN,NaN
-268000.000000,-2200500.000000,NaN,NaN,NaN
-268000.000000,-2198500.000000,NaN,NaN,NaN
-268000.000000,-2196500.000000,NaN,NaN,NaN
-268000.000000,-2194500.000000,NaN,NaN,NaN
-268000.000000,-2192500.000000,NaN,NaN,NaN
-268000.000000,-2190500.000000,NaN,NaN,NaN
-268000.000000,-2188500.000000,NaN,NaN,NaN
-268000.000000,-2186500.000000,NaN,NaN,NaN
-268000.000000,-2184500.000000,NaN,NaN,NaN
-268000.000000,-2182500.000000,NaN,NaN,NaN
-268000.000000,-2180500.000000,NaN,NaN,NaN
-268000.000000,-2178500.000000,NaN,NaN,NaN
-268000.000000,-2176500.000000,NaN,NaN,NaN
-268000.000000,-2174500.000000,NaN,NaN,NaN
-268000.000000,-2172500.000000,NaN,NaN,NaN
-268000.000000,-2170500.000000,NaN,NaN,NaN
-268000.000000,-2168500.000000,NaN,NaN,NaN
-268000.000000,-2166500.000000,NaN,NaN,NaN
-268000.000000,-2164500.000000,NaN,NaN,NaN
-268000.000000,-2162500.000000,NaN,NaN,NaN
-268000.000000,-2160500.000000,NaN,NaN,NaN
-268000.000000,-2158500.000000,NaN,NaN,NaN
-268000.000000,-2156500.000000,NaN,NaN,NaN
-268000.000000,-2154500.000000,NaN,NaN,NaN
-268000.000000,-2152500.000000,NaN,NaN,NaN
-268000.000000,-2150500.000000,NaN,NaN,NaN
-268000.000000,-2148500.000000,NaN,NaN,NaN
-268000.000000,-2146500.000000,NaN,NaN,NaN
-268000.000000,-2144500.000000,NaN,NaN,NaN
-268000.000000,-2142500.000000,NaN,NaN,NaN
-268000.000000,-2140500.000000,NaN,NaN,NaN
-268000.000000,-2138500.000000,NaN,NaN,NaN
-268000.000000,-2136500.000000,NaN,NaN,NaN
-268000.000000,-2134500.000000,NaN,NaN,NaN
-268000.000000,-2132500.000000,NaN,NaN,NaN
-268000.000000,-2130500.000000,NaN,NaN,NaN
-268000.000000,-2128500.000000,NaN,NaN,NaN
-268000.000000,-2126500.000000,NaN,NaN,NaN
-268000.000000,-2124500.000000,NaN,NaN,NaN
-268000.000000,-2122500.000000,NaN,NaN,NaN
-268000.000000,-2120500.000000,NaN,NaN,NaN
-268000.000000,-2118500.000000,NaN,NaN,NaN
-268000.000000,-2116500.000000,NaN,NaN,NaN
-268000.000000,-2114500.000000,NaN,NaN,NaN
-268000.000000,-2112500.000000,NaN,NaN,NaN
-268000.000000,-2110500.000000,NaN,NaN,NaN
-268000.000000,-2108500.000000,NaN,NaN,NaN
-268000.000000,-2106500.000000,NaN,NaN,NaN
-268000.000000,-2104500.000000,NaN,NaN,NaN
-268000.000000,-2102500.000000,NaN,NaN,NaN
-268000.000000,-2100500.000000,NaN,NaN,NaN
-268000.000000,-2098500.000000,NaN,NaN,NaN
-268000.000000,-2096500.000000,NaN,NaN,NaN
-268000.000000,-2094500.000000,NaN,NaN,NaN
-268000.000000,-2092500.000000,NaN,NaN,NaN
-266000.000000,-2236500.000000,NaN,NaN,NaN
-266000.000000,-2234500.000000,NaN,NaN,NaN
-266000.000000,-2232500.000000,NaN,NaN,NaN
-266000.000000,-2230500.000000,NaN,NaN,NaN
-266000.000000,-2228500.000000,NaN,NaN,NaN
-266000.000000,-2226500.000000,NaN,NaN,NaN
-266000.000000,-2224500.000000,NaN,NaN,NaN
-266000.000000,-2222500.000000,NaN,NaN,NaN
-266000.000000,-2220500.000000,NaN,NaN,NaN
-266000.000000,-2218500.000000,NaN,NaN,NaN
-266000.000000,-2216500.000000,NaN,NaN,NaN
-266000.000000,-2214500.000000,NaN,NaN,NaN
-266000.000000,-2212500.000000,NaN,NaN,NaN
-266000.000000,-2210500.000000,NaN,NaN,NaN
-266000.000000,-2208500.000000,NaN,NaN,NaN
-266000.000000,-2206500.000000,NaN,NaN,NaN
-266000.000000,-2204500.000000,NaN,NaN,NaN
-266000.000000,-2202500.000000,NaN,NaN,NaN
-266000.000000,-2200500.000000,NaN,NaN,NaN
-266000.000000,-2198500.000000,NaN,NaN,NaN
-266000.000000,-2196500.000000,NaN,NaN,NaN
-266000.000000,-2194500.000000,NaN,NaN,NaN
-266000.000000,-2192500.000000,NaN,NaN,NaN
-266000.000000,-2190500.000000,NaN,NaN,NaN
-266000.000000,-2188500.000000,NaN,NaN,NaN
-266000.000000,-2186500.000000,NaN,NaN,NaN
-266000.000000,-2184500.000000,NaN,NaN,NaN
-266000.000000,-2182500.000000,NaN,NaN,NaN
-266000.000000,-2180500.000000,NaN,NaN,NaN
-266000.000000,-2178500.000000,NaN,NaN,NaN
-266000.000000,-2176500.000000,NaN,NaN,NaN
-266000.000000,-2174500.000000,NaN,NaN,NaN
-266000.000000,-2172500.000000,NaN,NaN,NaN
-266000.000000,-2170500.000000,NaN,NaN,NaN
-266000.000000,-2168500.000000,NaN,NaN,NaN
-266000.000000,-2166500.000000,NaN,NaN,NaN
-266000.000000,-2164500.000000,NaN,NaN,NaN
-266000.000000,-2162500.000000,NaN,NaN,NaN
-266000.000000,-2160500.000000,NaN,NaN,NaN
-266000.000000,-2158500.000000,NaN,NaN,NaN
-266000.000000,-2156500.000000,NaN,NaN,NaN
-266000.000000,-2154500.000000,NaN,NaN,NaN
-266000.000000,-2152500.000000,NaN,NaN,NaN
-266000.000000,-2150500.000000,NaN,NaN,NaN
-266000.000000,-2148500.000000,NaN,NaN,NaN
-266000.000000,-2146500.000000,NaN,NaN,NaN
-266000.000000,-2144500.000000,NaN,NaN,NaN
-266000.000000,-2142500.000000,NaN,NaN,NaN
-266000.000000,-2140500.000000,NaN,NaN,NaN
-266000.000000,-2138500.000000,NaN,NaN,NaN
-266000.000000,-2136500.000000,NaN,NaN,NaN
-266000.000000,-2134500.000000,NaN,NaN,NaN
-266000.000000,-2132500.000000,NaN,NaN,NaN
-266000.000000,-2130500.000000,NaN,NaN,NaN
-266000.000000,-2128500.000000,NaN,NaN,NaN
-266000.000000,-2126500.000000,NaN,NaN,NaN
-266000.000000,-2124500.000000,NaN,NaN,NaN
-266000.000000,-2122500.000000,NaN,NaN,NaN
-266000.000000,-2120500.000000,NaN,NaN,NaN
-266000.000000,-2118500.000000,NaN,NaN,NaN
-266000.000000,-2116500.000000,NaN,NaN,NaN
-266000.000000,-2114500.000000,NaN,NaN,NaN
-266000.000000,-2112500.000000,NaN,NaN,NaN
-266000.000000,-2110500.000000,NaN,NaN,NaN
-266000.000000,-2108500.000000,NaN,NaN,NaN
-266000.000000,-2106500.000000,NaN,NaN,NaN
-266000.000000,-2104500.000000,NaN,NaN,NaN
-266000.000000,-2102500.000000,NaN,NaN,NaN
-266000.000000,-2100500.000000,NaN,NaN,NaN
-266000.000000,-2098500.000000,NaN,NaN,NaN
-266000.000000,-2096500.000000,NaN,NaN,NaN
-266000.000000,-2094500.000000,NaN,NaN,NaN
-266000.000000,-2092500.000000,NaN,NaN,NaN
-264000.000000,-2236500.000000,NaN,NaN,NaN
-264000.000000,-2234500.000000,NaN,NaN,NaN
-264000.000000,-2232500.000000,NaN,NaN,NaN
-264000.000000,-2230500.000000,NaN,NaN,NaN
-264000.000000,-2228500.000000,NaN,NaN,NaN
-264000.000000,-2226500.000000,NaN,NaN,NaN
-264000.000000,-2224500.000000,NaN,NaN,NaN
-264000.000000,-2222500.000000,NaN,NaN,NaN
-264000.000000,-2220500.000000,NaN,NaN,NaN
-264000.000000,-2218500.000000,NaN,NaN,NaN
-264000.000000,-2216500.000000,NaN,NaN,NaN
-264000.000000,-2214500.000000,NaN,NaN,NaN
-264000.000000,-2212500.000000,NaN,NaN,NaN
-264000.000000,-2210500.000000,NaN,NaN,NaN
-264000.000000,-2208500.000000,NaN,NaN,NaN
-264000.000000,-2206500.000000,NaN,NaN,NaN
-264000.000000,-2204500.000000,NaN,NaN,NaN
-264000.000000,-2202500.000000,NaN,NaN,NaN
-264000.000000,-2200500.000000,NaN,NaN,NaN
-264000.000000,-2198500.000000,NaN,NaN,NaN
-264000.000000,-2196500.000000,NaN,NaN,NaN
-264000.000000,-2194500.000000,NaN,NaN,NaN
-264000.000000,-2192500.000000,NaN,NaN,NaN
-264000.000000,-2190500.000000,NaN,NaN,NaN
-264000.000000,-2188500.000000,NaN,NaN,NaN
-264000.000000,-2186500.000000,NaN,NaN,NaN
-264000.000000,-2184500.000000,NaN,NaN,NaN
-264000.000000,-2182500.000000,NaN,NaN,NaN
-264000.000000,-2180500.000000,NaN,NaN,NaN
-264000.000000,-2178500.000000,NaN,NaN,NaN
-264000.000000,-2176500.000000,NaN,NaN,NaN
-264000.000000,-2174500.000000,NaN,NaN,NaN
-264000.000000,-2172500.000000,NaN,NaN,NaN
-264000.000000,-2170500.000000,NaN,NaN,NaN
-264000.000000,-2168500.000000,NaN,NaN,NaN
-264000.000000,-2166500.000000,NaN,NaN,NaN
